,ind,id
0,0,0/9533617L.png
1,1,0/9355236R.png
2,2,0/9568130R.png
3,3,0/9454413R.png
4,4,0/9627716L.png
5,5,0/9582261R.png
6,6,0/9622390R.png
7,7,0/9308720R.png
8,8,0/9609732L.png
9,9,0/9578253L.png
10,10,0/9619157R.png
11,11,0/9106510R.png
12,12,0/9528886R.png
13,13,0/9813851R.png
14,14,0/9762412R.png
15,15,0/9159961L.png
16,16,0/9547611L.png
17,17,0/9005656R.png
18,18,0/9800893R.png
19,19,0/9224983R.png
20,20,0/9933085R.png
21,21,0/9250986R.png
22,22,0/9017909R.png
23,23,0/9670897R.png
24,24,0/9249027L.png
25,25,0/9318127R.png
26,26,0/9902900R.png
27,27,0/9475284L.png
28,28,0/9228372L.png
29,29,0/9131911L.png
